|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
0|||||||||||||||||||||||||s3||||||||||||||||||||1|2||||||||||
1||||||||||||||||||||||||||||||||||||acc||||||||||||||||||||
2||||||||||||||||||||||||||||s7|||||s6||||||||||||||5||||||4|||
112|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||r27|||||||||||||||||||||||||||||||||||||
113|||||||||||||||||||||||||||s134|||||||||||||||||||||||||||||
114|||||||s97|s96||||||||||s95||s98|s99|s100|s101|s102||||||||||||||||||135||94||||||||||||
115|||||||s97|s96||||||||||s95||s98|s99|s100|s101|s102||||||||||||||||||||136||||||||||||
116|||||||||||||||||||s137|||||||||||||||||||||||||||||||||||||
117|||||||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||||||||||r25|||||||r25||||||||||||||||||||||
118|||||||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||||||||||r26|||||||r26||||||||||||||||||||||
119|||||||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||||||||||r27|||||||r27||||||||||||||||||||||
120|||||||s59|s60|s61|s62|||||||||r2||||||||||||||||||||||138|||||||||||||||
121|||||||r10|r10|r10|r10|s64|s65|s66|s67|s68|s69|s70||r10||||||||||||||||||||||||139|||||||||||||
122|||||||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||r16|||||||||||||||||||||||||||||||||||||
123|||||||s77|s76||||||||||s75||s78|s79|s80|s81|s82||||||||||||||140||72||73||74||||||||||||
124|||||||s125|s124||||||||||s123||s126|s127|s128|s129|s130||||||||||||||||||||141||||||||||||
125|||||||s125|s124||||||||||s123||s126|s127|s128|s129|s130||||||||||||||||||||142||||||||||||
126|||||||s125|s124||||||||||s123||s126|s127|s128|s129|s130||||||||||||||||||||143||||||||||||
127|||||||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||r28|||||||||||||||||||||||||||||||||||||
